crop_id,crop_name
0,Arecanut
1,Banana
2,Black Pepper
3,Cashewnut
4,Coconut
5,Dry Chillies
6,Ginger
7,Other Kharif Pulses
8,Other Oilseeds
9,Rice
10,Sugarcane
11,Sweet Potato
12,Arhar/Tur
13,Bajra
14,Castor Seed
15,Coriander
16,Cotton(Lint)
17,Gram
18,Groundnut
19,Horse-Gram
20,Jowar
21,Linseed
22,Maize
23,Mesta
24,Moong(Green Gram)
25,Niger Seed
26,Onion
27,Other Rabi Pulses
28,Potato
29,Ragi
30,Rapeseed &Mustard
31,Safflower
32,Sesamum
33,Small Millets
34,Soyabean
35,Sunflower
36,Tapioca
37,Tobacco
38,Turmeric
39,Urad
40,Wheat
41,Oilseeds Total
42,Jute
43,Masoor
44,Peas & Beans (Pulses)
45,Barley
46,Garlic
47,Khesari
48,Sannhamp
49,Guar Seed
50,Moth
51,Cardamom
52,Other Cereals
53,Cowpea(Lobia)
54,Dry Ginger
55,Other Summer Pulses
